Sequence Name;mcg;gvh;lip;chg;aac;alm1;alm2;Class
AAT_ECOLI;49;29;48;5;56;24;35;cp
ACEA_ECOLI;7;4;48;5;54;35;44;cp
ACEK_ECOLI;56;4;48;5;49;37;46;cp
ACKA_ECOLI;59;49;48;5;52;45;36;cp
ADI_ECOLI;23;32;48;5;55;25;35;cp
ALKH_ECOLI;67;39;48;5;36;38;46;cp
AMPD_ECOLI;29;28;48;5;44;23;34;cp
AMY2_ECOLI;21;34;48;5;51;28;39;cp
APT_ECOLI;2;44;48;5;46;51;57;cp
ARAC_ECOLI;42;4;48;5;56;18;3;cp
ASG1_ECOLI;42;24;48;5;57;27;37;cp
BTUR_ECOLI;25;48;48;5;44;17;29;cp
CAFA_ECOLI;39;32;48;5;46;24;35;cp
CAIB_ECOLI;51;5;48;5;46;32;35;cp
CFA_ECOLI;22;43;48;5;48;16;28;cp
CHEA_ECOLI;25;4;48;5;46;44;52;cp
CHEB_ECOLI;34;45;48;5;38;24;35;cp
CHEW_ECOLI;44;27;48;5;55;52;58;cp
CHEY_ECOLI;23;4;48;5;39;28;38;cp
CHEZ_ECOLI;41;57;48;5;39;21;32;cp
CRL_ECOLI;4;45;48;5;38;22;0;cp
CSPA_ECOLI;31;23;48;5;73;5;14;cp
CYNR_ECOLI;51;54;48;5;41;34;43;cp
CYPB_ECOLI;3;16;48;5;56;11;23;cp
CYPC_ECOLI;36;39;48;5;48;22;23;cp
CYSB_ECOLI;29;37;48;5;48;44;52;cp
CYSE_ECOLI;25;4;48;5;47;33;42;cp
DAPD_ECOLI;21;51;48;5;5;32;41;cp
DCP_ECOLI;43;37;48;5;53;35;44;cp
DDLA_ECOLI;43;39;48;5;47;31;41;cp
DDLB_ECOLI;53;38;48;5;44;26;36;cp
DEOC_ECOLI;34;33;48;5;38;35;44;cp
DLDH_ECOLI;56;51;48;5;34;37;46;cp
EFG_ECOLI;4;29;48;5;42;35;44;cp
EFTS_ECOLI;24;35;48;5;31;19;31;cp
EFTU_ECOLI;36;54;48;5;41;38;46;cp
ENO_ECOLI;29;52;48;5;42;29;39;cp
FABB_ECOLI;65;47;48;5;59;3;4;cp
FES_ECOLI;32;42;48;5;35;28;38;cp
G3P1_ECOLI;38;46;48;5;48;22;29;cp
G3P2_ECOLI;33;45;48;5;52;32;41;cp
G6PI_ECOLI;3;37;48;5;59;41;49;cp
GCVA_ECOLI;4;5;48;5;45;39;47;cp
GLNA_ECOLI;28;38;48;5;5;33;42;cp
GLPD_ECOLI;61;45;48;5;48;35;41;cp
GLYA_ECOLI;17;38;48;5;45;42;5;cp
GSHR_ECOLI;44;35;48;5;55;55;61;cp
GT_ECOLI;43;4;48;5;39;28;39;cp
HEM6_ECOLI;42;35;48;5;58;15;27;cp
HEMN_ECOLI;23;33;48;5;43;33;43;cp
HPRT_ECOLI;37;52;48;5;42;42;36;cp
IF1_ECOLI;29;3;48;5;45;3;17;cp
IF2_ECOLI;22;36;48;5;35;39;47;cp
ILVY_ECOLI;23;58;48;5;37;53;59;cp
IPYR_ECOLI;47;47;48;5;22;16;26;cp
KAD_ECOLI;54;47;48;5;28;33;42;cp
KDSA_ECOLI;51;37;48;5;35;36;45;cp
LEU3_ECOLI;4;35;48;5;45;33;42;cp
LON_ECOLI;44;34;48;5;3;33;43;cp
LPLA_ECOLI;42;38;48;5;54;34;43;cp
LYSR_ECOLI;44;56;48;5;5;46;54;cp
MALQ_ECOLI;52;36;48;5;41;28;38;cp
MALZ_ECOLI;36;41;48;5;48;47;54;cp
MASY_ECOLI;18;3;48;5;46;24;35;cp
METB_ECOLI;47;29;48;5;51;33;43;cp
METC_ECOLI;24;43;48;5;54;52;59;cp
METK_ECOLI;25;37;48;5;41;33;42;cp
METR_ECOLI;52;57;48;5;42;47;54;cp
METX_ECOLI;25;37;48;5;43;26;36;cp
MURF_ECOLI;35;48;48;5;56;4;48;cp
NADA_ECOLI;26;26;48;5;34;25;35;cp
NFRC_ECOLI;44;51;48;5;47;26;36;cp
NHAR_ECOLI;37;5;48;5;42;36;45;cp
NIRD_ECOLI;44;42;48;5;42;25;2;cp
OMPR_ECOLI;24;43;48;5;37;28;38;cp
OTC1_ECOLI;42;3;48;5;48;26;36;cp
OTC2_ECOLI;48;42;48;5;45;25;35;cp
PEPE_ECOLI;41;48;48;5;51;44;51;cp
PFLA_ECOLI;44;28;48;5;43;27;37;cp
PFLB_ECOLI;29;41;48;5;48;38;46;cp
PGK_ECOLI;34;28;48;5;41;35;44;cp
PHOB_ECOLI;41;43;48;5;45;31;41;cp
PHOH_ECOLI;29;47;48;5;41;23;34;cp
PMBA_ECOLI;34;55;48;5;58;31;41;cp
PNP_ECOLI;36;56;48;5;43;45;53;cp
PROB_ECOLI;4;46;48;5;52;49;56;cp
PT1A_ECOLI;5;49;48;5;49;46;53;cp
PT1_ECOLI;52;44;48;5;37;36;42;cp
PTCA_ECOLI;5;51;48;5;27;23;34;cp
PTCB_ECOLI;53;42;48;5;16;29;39;cp
PTFA_ECOLI;34;46;48;5;52;35;44;cp
PTGA_ECOLI;4;42;48;5;37;27;27;cp
PTHA_ECOLI;41;43;48;5;5;24;25;cp
PTHP_ECOLI;3;45;48;5;36;21;32;cp
PTKA_ECOLI;31;47;48;5;29;28;39;cp
PTKB_ECOLI;64;76;48;5;45;35;38;cp
PTNA_ECOLI;35;37;48;5;3;34;43;cp
PTWB_ECOLI;57;54;48;5;37;28;33;cp
PTWX_ECOLI;65;55;48;5;34;37;28;cp
RHAR_ECOLI;51;46;48;5;58;31;41;cp
RHAS_ECOLI;38;4;48;5;63;25;35;cp
RIMI_ECOLI;24;57;48;5;63;34;43;cp
RIMJ_ECOLI;38;26;48;5;54;16;28;cp
RIML_ECOLI;33;47;48;5;53;18;29;cp
RNB_ECOLI;24;34;48;5;38;3;4;cp
RNC_ECOLI;26;5;48;5;44;32;41;cp
RND_ECOLI;44;49;48;5;39;38;4;cp
RNE_ECOLI;43;32;48;5;33;45;52;cp
SERC_ECOLI;49;43;48;5;49;3;4;cp
SLYD_ECOLI;47;28;48;5;56;2;25;cp
SOXS_ECOLI;32;33;48;5;6;6;2;cp
SYA_ECOLI;34;35;48;5;51;49;56;cp
